ID	Digitalna kompetenca	SUM	MAX	SLJ - Slovenščina 			MAT - Matematika 			TJ - Tuj jezik			LUM - Likovna umetnost			GUM - Glasbena umetnost 			DRU - Družba 	Povezovalni cilji - 1. VIO	GEO - Geografija		ZGO - Zgodovina 		DKE - Državljanska in domovinska vzgoja ter etika 	SPO - Spoznavanje okolja 	FIZ - Fizika 	KEM - Kemija 	BIO - Biologija 	NAR - Naravoslovje 		NIT - Naravoslovje in tehnika 	TIT - Tehnika in tehnologija		GOS - Gospodinjstvo 	ŠPO - Šport 		
	VIO			1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	2	1	2	3	2	3	3	1	3	3	3	2	3	2	2	3	2	1	2	3
	Count			8	6	4	3	2	4	2	3	2	4	2	2	3	3	4	3	13	1	3	3	4	2	2	3	3	2	3	3	2	1	4	2	1	1	2
1.1	Brskanje, iskanje in filtriranje podatkov, informacij in digitalnih vsebin	8	4	2	3	4	2				2					2	3									2												
1.2	Vrednotenje podatkov, informacij in digitalnih vsebin	9	4	1	3	4	1				3	4											2	4					4									
1.3	Upravljanje podatkov, informacij in digitalnih vsebin	9	4	1				2	4											1			2	4			4			2	2							
2.1	Interakcija z uporabo digitalnih tehnologij	5	5	1		5				1	4									1																		
2.2	Deljenje z uporabo digitalnih tehnologij	7	4										1	2			3	3		1				4				4										
2.3	Državljansko udejstvovanje z uporabo digitalnih tehnologij	2	3																2						3													
2.4	Sodelovanje z uporabo digitalnih tehnologij	6	4					2	3											1					4					3	4							
2.5	Spletni bonton	5	4	1	2							4								1						1												
2.6	Upravljanje digitalne identitete	5	4		2					1										1	3	4																
3.1	Razvoj digitalnih vsebin	9	5	2	2								1	2			3	4		1				4				5										
3.2	Umeščanje in poustvarjanje digitalnih vsebin	6	3	1									1		3			1		1			1															
3.3	Avtorske pravice in licence	6	4	1	3								1		4				2	1																		
3.4	Programiranje	2	1				1													1																		
4.1	Skrb za varnost naprav	3	3																													1	2	3				
4.2	Varovanje osebnih podatkov in zasebnosti	4	3													1				1															2			3
4.3	Skrb za zdravje in dobrobit	7	5													1			2	1															3	2	4	5
4.4	Varstvo okolja	6	4																			4						3	4	2	2	1						
5.1	Reševanje tehničnih težav	4	2															2		1							2							2				
5.2	Ugotavljanje potreb in opredelitev tehnoloških zadreg	2	2						2																									2				
5.3	Ustvarjalna uporaba digitalne tehnologije	3	2																			2					2							2				
5.4	Prepoznavanje vrzeli v digitalnih kompetencah	2	2			2			2
