ID	Digitalna kompetenca	SUM	MAX	SLJ - Slovenščina 	MAT - Matematika 	TJ1 - ANG	TJ1 - NEM	TJ2 - ANG	TJ2 - NEM	TJ2 - FRA	TJ2-ITA	TJ2-RUŠ	TJ2-ŠPA	LUM - Likovna umetnost	GUM - Glasbena umetnost 	GEO - Geografija	ZGO - Zgodovina 	FIZ - Fizika 	KEM - Kemija 	BIO - Biologija 	ŠPO - Šport 	INF - Informatika	SOC	PSI	FIL	KIZ	AD - Aktivno državljanstvo
	Razred			4	4	4	4	4	4	4				1	1	3	4	3	3	3	4	1	2	3	4	1	3
	Count			V1P0N4	V0P1N2	V0P1N2		V0P0N3						V0P2N1	V0P0N2	V2P1N1	V0P1N2	V3P0N0	V1P0N2	V0P1N2	V2P0N0	V8P0N0	V2P0N1	V1P1N2	V0P1N2	V0P0N0	V0P0N0
1.1	Brskanje, iskanje in filtriranje podatkov, informacij in digitalnih vsebin	0	0	N		P	N	N	N	N	P	P	P														
1.2	Vrednotenje podatkov, informacij in digitalnih vsebin	0	0	V		N	N	N	N	N	N	P	P									V	V	V	P	X2	X2
1.3	Upravljanje podatkov, informacij in digitalnih vsebin	0	0		N												P	V				V					
2.1	Interakcija z uporabo digitalnih tehnologij	0	0	N		N	N	N	N	P	P	P	P														
2.2	Deljenje z uporabo digitalnih tehnologij	0	0											P	N		N		N								
2.3	Državljansko udejstvovanje z uporabo digitalnih tehnologij	0	0																				N				X1
2.4	Sodelovanje z uporabo digitalnih tehnologij	0	0		N															N					N		
2.5	Spletni bonton	0	0													P								N			
2.6	Upravljanje digitalne identitete	0	0											N	N												X1
3.1	Razvoj digitalnih vsebin	0	0	N												V		V		P							
3.2	Umeščanje in poustvarjanje digitalnih vsebin	0	0	N												V	N										
3.3	Avtorske pravice in licence	0	0											P								V	V	N		X1	
3.4	Programiranje	0	0																			V					
4.1	Skrb za varnost naprav	0	0																			V					
4.2	Varovanje osebnih podatkov in zasebnosti	0	0																		V	V					
4.3	Skrb za zdravje in dobrobit	0	0																		V			P			
4.4	Varstvo okolja	0	0													N				N					N		
5.1	Reševanje tehničnih težav	0	0															V				V					
5.2	Ugotavljanje potreb in opredelitev tehnoloških zadreg	0	0		P																						
5.3	Ustvarjalna uporaba digitalne tehnologije	0	0																V			V					
5.4	Prepoznavanje vrzeli v digitalnih kompetencah	0	0																N	
