ID	Digitalna kompetenca	SUM	MAX	Biologija (SSI, PTI)	Drugi tuji jezik (SPI, SSI, PTI)	Družboslovje (SPI)	Družboslovje in naravoslovje (NPI)	Fizika (SSI, PTI)	Geografija (SSI, PTI)	Informatika (PTI)	Italijanščina kot drugi jezik (NPI, SPI, SSI, PTI)	Kemija (SSI, PTI)	Matematika  (NPI)	Matematika (PTI)	Matematika (SPI)	Matematika (SSI)	Naravoslovje (SPI)	Psihologija (SSI, PTI)	Slovenščina (NPI)	Slovenščina (PTI)	Slovenščina (SPI)	Slovenščina (SSI)	Sociologija (SSI, PTI)	Športna vzgoja (NPI)	Športna vzgoja (SPI)	Športna vzgoja (SSI, PTI)	Tuji jezik (SPI, SSI, PTI)	Umetnost (SPI)	Umetnost (SSI, PTI)	Zgodovina (SSI, PTI)
	Count			V4P0N0	V4P0N0	V4P0N0		V3P0N0	V7P0N0	V13P0N0	V4P0N0	V0P0N0	V0P0N0	V0P0N0	V0P0N0	V0P0N0	V4P0N0	V3P0N0	V10P0N0	V10P0N0	V10P0N0	V10P0N0	V3P0N0	V2P0N0	V2P0N0	V2P0N0	V3P0N0	V2P0N0	V4P0N0	V3P0N0
1.1	Brskanje, iskanje in filtriranje podatkov, informacij in digitalnih vsebin	0	0		V	V	V		V	V	V								V	V	V	V							V	V
1.2	Vrednotenje podatkov, informacij in digitalnih vsebin	0	0	V	V	V	V		V	V	V								V	V	V	V	V				V			V
1.3	Upravljanje podatkov, informacij in digitalnih vsebin	0	0	V			V	V	V	V							V													
2.1	Interakcija z uporabo digitalnih tehnologij	0	0		V				V	V	V								V	V	V	V					V			
2.2	Deljenje z uporabo digitalnih tehnologij	0	0						V	V							V		V	V	V	V					V	V	V	
2.3	Državljansko udejstvovanje z uporabo digitalnih tehnologij	0	0	V		V																	V							
2.4	Sodelovanje z uporabo digitalnih tehnologij	0	0				V			V							V		V	V	V									
2.5	Spletni bonton	0	0		V						V							V	V	V	V	V								
2.6	Upravljanje digitalne identitete	0	0																V	V	V	V								
3.1	Razvoj digitalnih vsebin	0	0	V				V	V	V								V	V	V	V	V								V
3.2	Umeščanje in poustvarjanje digitalnih vsebin	0	0			V	V		V	V																				
3.3	Avtorske pravice in licence	0	0							V									V	V	V	V	V					V	V	
3.4	Programiranje	0	0							V																				
4.1	Skrb za varnost naprav	0	0							V																				
4.2	Varovanje osebnih podatkov in zasebnosti	0	0							V														V	V	V				
4.3	Skrb za zdravje in dobrobit	0	0				V										V	V						V	V	V				
4.4	Varstvo okolja	0	0																											
5.1	Reševanje tehničnih težav	0	0					V		V																				
5.2	Ugotavljanje potreb in opredelitev tehnoloških zadreg	0	0																			V								
5.3	Ustvarjalna uporaba digitalne tehnologije	0	0																										V	
5.4	Prepoznavanje vrzeli v digitalnih kompetencah	0	0																V	V	V	V
